brand,year,sales
Acura,1986,52869
Acura,1987,109470
Acura,1988,128238
Acura,1989,142061
Acura,1990,138384
Acura,1991,143708
Acura,1992,120100
Acura,1993,108291
Acura,1994,112137
Acura,1995,97351
Acura,1996,108008
Acura,1997,108143
Acura,1998,110392
Acura,1999,118016
Acura,2000,142681
Acura,2001,170469
Acura,2002,165552
Acura,2003,170918
Acura,2004,198919
Acura,2005,209610
Acura,2006,201223
Acura,2007,180104
Acura,2008,144504
Acura,2009,105723
Acura,2010,133606
Acura,2011,123299
Acura,2012,156216
Acura,2013,165436
Acura,2014,167843
Acura,2015,177165
Acura,2016,161360
Acura,2017,154602
Acura,2018,158934
Acura,2019,157385
Alfa,1971,1837
Alfa,1972,2270
Alfa,1973,2595
Alfa,1974,3139
Alfa,1975,5342
Alfa,1976,5283
Alfa,1977,6712
Alfa,1978,6137
Alfa,1979,4011
Alfa,1980,3542
Alfa,1981,2294
Alfa,1982,2211
Alfa,1983,3002
Alfa,1984,3702
Alfa,1985,4502
Alfa,1986,8201
Alfa,1987,6320
Alfa,1988,4476
Alfa,1989,2920
Alfa,1990,3482
Alfa,1991,3478
Alfa,1992,2941
Alfa,1993,1325
Alfa,1994,565
Alfa,1995,414
Alfa,1996,0
Alfa,1998,0
Alfa,2000,0
Alfa,2015,663
Alfa,2016,528
Alfa,2017,12031
Alfa,2018,23800
Alfa,2019,18292
Aston,2001,302
Aston,2002,487
Aston,2003,519
Aston,2004,469
Aston,2005,492
Aston,2006,443
Aston,2007,2058
Aston,2008,1600
Aston,2009,1140
Aston,2010,840
Aston,2011,804
Aston,2012,816
Aston,2013,828
Aston,2014,1160
Aston,2015,1020
Audi,1970,7691
Audi,1971,20604
Audi,1972,28631
Audi,1973,46136
Audi,1974,50437
Audi,1975,50680
Audi,1976,33316
Audi,1977,35849
Audi,1978,40882
Audi,1979,42709
Audi,1980,41274
Audi,1981,47234
Audi,1982,42662
Audi,1983,47934
Audi,1984,71206
Audi,1985,74061
Audi,1986,59798
Audi,1987,41322
Audi,1988,51474
Audi,1989,49011
Audi,1990,46548
Audi,1991,44085
Audi,1992,41621
Audi,1993,39158
Audi,1994,36695
Audi,1995,34232
Audi,1996,27349
Audi,1997,34160
Audi,1998,47517
Audi,1999,65959
Audi,2000,80372
Audi,2001,83283
Audi,2002,85726
Audi,2003,35378
Audi,2004,30749
Audi,2005,83066
Audi,2006,80113
Audi,2007,93506
Audi,2008,87760
Audi,2009,82716
Audi,2010,101629
Audi,2011,117561
Audi,2012,139310
Audi,2013,158061
Audi,2014,182011
Audi,2015,202202
Audi,2016,210213
Audi,2017,226511
Audi,2018,223323
Audi,2019,224111
Bentley,2003,437
Bentley,2004,2394
Bentley,2005,3654
Bentley,2006,3856
Bentley,2007,3990
Bentley,2008,2693
Bentley,2009,1367
Bentley,2010,1430
Bentley,2011,1877
Bentley,2012,2315
Bentley,2013,2841
Bentley,2014,3003
Bentley,2015,2686
Bentley,2016,2581
Bentley,2017,2405
BMW,1970,14574
BMW,1971,19826
BMW,1972,19942
BMW,1973,13629
BMW,1974,15007
BMW,1975,19419
BMW,1976,26509
BMW,1977,28776
BMW,1978,31439
BMW,1979,34520
BMW,1980,35972
BMW,1981,40036
BMW,1982,45971
BMW,1983,59242
BMW,1984,70897
BMW,1985,87832
BMW,1986,96759
BMW,1987,87839
BMW,1988,73359
BMW,1989,64881
BMW,1990,63646
